kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI1108,Bahasa Indonesia,15/16,"Format penulisan akhir, pengecekan kelengkapan, unggah ke repository","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,16/16,Seluruh materi (minggu 1-15),"P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,1/16,"Pendahuluan, urgensi Pancasila, peran mahasiswa","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,2/16,"Sejarah pergerakan nasional, Sumpah Pemuda, BPUPKI, PPKI","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,3/16,"Rumusan Pancasila, tokoh (Soekarno, M. Yamin, Supomo), Piagam Jakarta, penghapusan 7 kata","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,4/16,"Pengertian ideologi, ideologi terbuka vs tertutup, Pancasila sebagai ideologi dinamis","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,5/16,"Kedudukan Pancasila, UUD 1945, peraturan perundangan, implementasi","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,6/16,"Sila 1-5, contoh dalam keluarga, masyarakat, kampus, dan pekerjaan","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,7/16,"Pancasila sebagai filsafat bangsa, hubungan dengan agama, budaya","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,8/16,Materi Minggu 1–7,"P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
